x,y,z,qx,qy,qz,qw
-5.2721,-0.716072,0.144363,-0.61289,-0.232507,-0.395938,-0.395938
-5.31604,-0.719819,0.1454,-0.614834,-0.231466,-0.396959,-0.396959
-5.35896,-0.722311,0.150011,-0.617882,-0.229692,-0.398897,-0.398897
-5.40312,-0.726311,0.157691,-0.621752,-0.227157,-0.401125,-0.401125
-5.44513,-0.729764,0.164601,-0.626192,-0.223622,-0.403472,-0.403472
-5.48591,-0.733874,0.169354,-0.630445,-0.219922,-0.405854,-0.405854
-5.52626,-0.738094,0.173027,-0.633227,-0.216989,-0.407716,-0.407716
-5.56618,-0.744019,0.176778,-0.632643,-0.21561,-0.408922,-0.408922
-5.60533,-0.750637,0.180072,-0.630072,-0.215309,-0.410004,-0.410004
-5.64782,-0.756594,0.182896,-0.62816,-0.214527,-0.411673,-0.411673
-5.68699,-0.76279,0.184559,-0.627759,-0.212958,-0.413576,-0.413576
-5.72502,-0.767464,0.184552,-0.628449,-0.210865,-0.415526,-0.415526
-5.76452,-0.771082,0.182973,-0.62942,-0.208822,-0.417406,-0.417406
-5.80355,-0.773921,0.180368,-0.630262,-0.207044,-0.419048,-0.419048
-5.84358,-0.776284,0.17712,-0.631159,-0.205393,-0.420552,-0.420552
-5.88505,-0.777938,0.17355,-0.632208,-0.203783,-0.422007,-0.422007
-5.92578,-0.778726,0.169981,-0.63339,-0.202221,-0.423287,-0.423287
-5.96701,-0.779021,0.166765,-0.633957,-0.201002,-0.424265,-0.424265
-6.01235,-0.780458,0.164427,-0.63302,-0.200654,-0.42475,-0.42475
-6.05522,-0.782174,0.163934,-0.630209,-0.201523,-0.424734,-0.424734
-6.1008,-0.784434,0.166667,-0.625782,-0.203647,-0.424336,-0.424336
-6.14475,-0.78772,0.17188,-0.623262,-0.204959,-0.423941,-0.423941
-6.1836,-0.789644,0.178026,-0.624174,-0.204352,-0.423954,-0.423954
-6.22235,-0.789083,0.182933,-0.627526,-0.202175,-0.424132,-0.424132
-6.25783,-0.789463,0.186996,-0.631243,-0.199952,-0.423922,-0.423922
-6.2928,-0.790873,0.189978,-0.632791,-0.199338,-0.422873,-0.422873
-6.33094,-0.792744,0.191709,-0.632287,-0.200362,-0.421128,-0.421128
-6.36789,-0.793871,0.191807,-0.631245,-0.202024,-0.419033,-0.419033
-6.40269,-0.795126,0.190125,-0.630239,-0.204038,-0.416639,-0.416639
-6.44115,-0.795982,0.186258,-0.62933,-0.206171,-0.414234,-0.414234
-6.47852,-0.796882,0.180908,-0.628757,-0.208168,-0.411755,-0.411755
-6.51668,-0.798436,0.174192,-0.628583,-0.209861,-0.409502,-0.409502
-6.55538,-0.801647,0.166341,-0.628716,-0.21105,-0.407589,-0.407589
-6.5968,-0.806039,0.158307,-0.629363,-0.211628,-0.406046,-0.406046
-6.63947,-0.810657,0.150546,-0.63113,-0.211222,-0.405006,-0.405006
-6.68742,-0.814699,0.144541,-0.633707,-0.210235,-0.404295,-0.404295
-6.72783,-0.821419,0.140242,-0.635677,-0.209433,-0.403567,-0.403567
-6.77496,-0.826919,0.139549,-0.637461,-0.208568,-0.402991,-0.402991
-6.81653,-0.83273,0.143041,-0.639974,-0.207837,-0.402851,-0.402851
-6.85945,-0.837415,0.149246,-0.643707,-0.206723,-0.402853,-0.402853
-6.90251,-0.839924,0.155886,-0.649291,-0.204447,-0.402912,-0.402912
-6.94599,-0.840043,0.162242,-0.656246,-0.201561,-0.403281,-0.403281
-6.98906,-0.839471,0.168163,-0.663451,-0.198327,-0.403942,-0.403942
-7.03271,-0.838443,0.173725,-0.670146,-0.195121,-0.404837,-0.404837
-7.07414,-0.837617,0.179323,-0.675777,-0.192259,-0.406411,-0.406411
-7.12051,-0.837678,0.185282,-0.68013,-0.189711,-0.408597,-0.408597
-7.16816,-0.838983,0.188137,-0.683163,-0.187656,-0.410927,-0.410927
-7.21714,-0.840879,0.188005,-0.684917,-0.186089,-0.413242,-0.413242
-7.26101,-0.842918,0.18598,-0.685664,-0.18486,-0.415423,-0.415423
-7.30464,-0.844735,0.181916,-0.685699,-0.183832,-0.417414,-0.417414
-7.35437,-0.845817,0.175622,-0.685286,-0.182651,-0.419284,-0.419284
-7.41145,-0.847982,0.166881,-0.684539,-0.18138,-0.420902,-0.420902
-7.45737,-0.850239,0.159196,-0.683641,-0.179918,-0.421962,-0.421962
-7.50463,-0.853025,0.152014,-0.682322,-0.178514,-0.422468,-0.422468
-7.55053,-0.855115,0.147107,-0.680553,-0.177048,-0.4224,-0.4224
-7.59772,-0.857537,0.145941,-0.678135,-0.176348,-0.422189,-0.422189
-7.64591,-0.85938,0.150811,-0.676042,-0.175629,-0.422188,-0.422188
-7.68979,-0.859002,0.158281,-0.677191,-0.172808,-0.422439,-0.422439
-7.72877,-0.857678,0.164725,-0.682038,-0.167541,-0.422753,-0.422753
-7.7649,-0.855449,0.169842,-0.68869,-0.161227,-0.422922,-0.422922
