x1,y1,x2,y2
3516.980688964418,1051.323605862423,3516.980688962057,1301.0736082930907
3680.730688962362,461.073603484911,3516.980688969911,461.07360348491034
4768.230688962356,461.0736058615372,4694.730688962356,461.0736058615372
4550.730688962356,461.0736058615372,4507.2306889623615,461.0736058615373
4333.230688962357,461.0736058615373,4259.730688962355,461.0736058615373
4115.730688962356,461.0736058615373,4042.230688962356,461.0736058615373
3898.230688962356,461.0736058615373,3824.730688962355,461.0736058615373
1451.794402146143,1301.1127044582897,1505.730688962362,1301.073605861542
1505.752436058122,1331.073597979272,1457.5809841055216,1331.1085176277281
1457.5809841055216,1331.1085176277281,1375.5373708033708,1413.112378450036
3377.7306889623633,3755.073605861542,3257.7306889623633,3755.073605861542
3257.7306889623633,3755.073605861542,3377.7306889623633,3755.073605861542
3160.2306889623633,3755.073605861541,3040.2306889623633,3755.073605861541
3040.2306889623633,3755.073605861541,3160.2306889623633,3755.073605861541
2942.730688962364,3755.073605861541,2822.730688962363,3755.073605861541
2822.730688962363,3755.073605861541,2942.730688962364,3755.073605861541
2725.2306889623637,3755.073605861541,2605.230688962362,3755.073605861541
2605.230688962362,3755.073605861541,2725.2306889623637,3755.073605861541
2507.7306889623633,3755.073605861541,2387.730688962362,3755.073605861541
2387.730688962362,3755.073605861541,2507.7306889623633,3755.073605861541
2290.2306889623633,3755.073605861541,2170.2306889623633,3755.073605861541
2170.2306889623633,3755.073605861541,2290.2306889623633,3755.073605861541
2072.730688962363,3755.073605861541,1952.730688962361,3755.073605861541
1952.730688962361,3755.073605861541,2072.730688962363,3755.073605861541
1855.2306889623624,3755.073605861541,1735.2306889623633,3755.073605861541
1735.2306889623633,3755.073605861541,1855.2306889623624,3755.073605861541
1637.7306889623637,3755.073605861541,1517.7306889623624,3755.073605861541
1517.7306889623624,3755.073605861541,1637.7306889623637,3755.073605861541
1420.230688962362,3755.073605861541,1300.230688962361,3755.073605861541
1300.230688962361,3755.073605861541,1420.230688962362,3755.073605861541
1202.730688962361,3755.073605861541,1082.7306889623628,3755.073605861541
1082.7306889623628,3755.073605861541,1202.730688962361,3755.073605861541
985.2306889623633,3755.073605861541,865.2306889623624,3755.073605861541
865.2306889623624,3755.073605861541,985.2306889623633,3755.073605861541
767.7306889623624,3755.073605861541,647.7306889623615,3755.073605861541
647.7306889623615,3755.073605861541,767.7306889623624,3755.073605861541
4900.230688962364,3755.0736058615444,4780.230688962363,3755.0736058615444
4780.230688962363,3755.0736058615444,4900.230688962364,3755.0736058615444
4682.730688962364,3755.0736058615444,4562.730688962364,3755.0736058615444
4562.730688962364,3755.0736058615444,4682.730688962364,3755.0736058615444
4465.230688962364,3755.0736058615444,4345.230688962364,3755.0736058615444
4345.230688962364,3755.0736058615444,4465.230688962364,3755.0736058615444
4247.730688962363,3755.0736058615444,4127.730688962363,3755.0736058615444
4127.730688962363,3755.0736058615444,4247.730688962363,3755.0736058615444
4030.230688962364,3755.0736058615444,3910.230688962364,3755.0736058615444
3910.230688962364,3755.0736058615444,4030.230688962364,3755.0736058615444
3812.730688962364,3755.0736058615444,3692.730688962364,3755.0736058615444
3692.730688962364,3755.0736058615444,3812.730688962364,3755.0736058615444
3595.2306889623633,3755.0736058615444,3475.230688962363,3755.0736058615444
3475.230688962363,3755.0736058615444,3595.2306889623633,3755.0736058615444
1855.2306889623624,1301.073605861543,1735.2306889623633,1301.073605861543
1735.2306889623633,1301.073605861543,1855.2306889623624,1301.073605861543
730.6559840674536,2015.56735360959,645.8031721466568,2100.420169173567
645.8031721466568,2100.420169173567,730.6559840674536,2015.56735360959
594.4806961308595,2344.3236022777182,594.4806961308595,2224.3236022777173
594.4806961308595,2224.3236022777173,594.4806961308595,2344.3236022777182
594.4806961308559,2561.823602277715,594.4806961308559,2441.823602277715
594.4806961308559,2441.823602277715,594.4806961308559,2561.823602277715
594.4806961308559,3023.073602277715,594.4806961308559,2903.0736022777132
594.4806961308559,2903.0736022777132,594.4806961308559,3023.073602277715
594.4806961300983,3484.323602277716,594.4806961300983,3364.323602277715
594.4806961300983,3364.323602277715,594.4806961300983,3484.323602277716
594.4806961308559,3701.823602277715,594.4806961308559,3581.823602277715
594.4806961308559,3581.823602277715,594.4806961308559,3701.823602277715
4953.480685378536,2344.3236022777182,4953.480685378536,2224.3236022777173
4953.480685378536,2224.3236022777173,4953.480685378536,2344.3236022777182
4953.480685378536,2561.823602277715,4953.480685378536,2441.823602277715
4953.480685378536,2441.823602277715,4953.480685378536,2561.823602277715
4953.480685378536,3023.073602277715,4953.480685378536,2903.0736022777132
4953.480685378536,2903.0736022777132,4953.480685378536,3023.073602277715
4953.480685379294,3484.323602277716,4953.480685379294,3364.323602277715
4953.480685379294,3364.323602277715,4953.480685379294,3484.323602277716
4953.480685378537,3701.823602277715,4953.480685378537,3581.823602277715
4953.480685378537,3581.823602277715,4953.480685378537,3701.823602277715
4953.480685378536,2779.323602277716,4953.480685378536,2659.323602277716
4953.480685378536,2659.323602277716,4953.480685378536,2779.323602277716
4953.480685378536,3266.823602277715,4953.480685378536,3146.823602277714
4953.480685378536,3146.823602277714,4953.480685378536,3266.823602277715
